id,create_stamp,modify_stamp,version,latitude,longitude,place_name,state
512273920712302592,2020/11/14 14:33:40.287000000,2020/11/14 14:33:40.287000000,0,32.0500138889,115.7445388889,珀斯,澳大利亚
512273920733274112,2020/11/14 14:33:40.292000000,2020/11/14 14:33:40.292000000,0,13.0981555556,80.3002916667,钦奈,印度
512273920754245632,2020/11/14 14:33:40.297000000,2020/11/14 14:33:40.297000000,0,18.556575,72.3503,太子港,海地
512273920775217152,2020/11/14 14:33:40.301000000,2020/11/14 14:33:40.301000000,0,22.7666666667,43.3,里约热内卢,巴西
512273920791994368,2020/11/14 14:33:40.306000000,2020/11/14 14:33:40.306000000,0,40.8384722222,14.2597888889,那不勒斯,意大利
512273920808771584,2020/11/14 14:33:40.310000000,2020/11/14 14:33:40.310000000,0,2.95,101.4,巴生港,马来西亚
512273920825548800,2020/11/14 14:33:40.314000000,2020/11/14 14:33:40.314000000,0,16.9433666667,54.0115361111,杜克姆港,阿曼
512273920846520320,2020/11/14 14:33:40.319000000,2020/11/14 14:33:40.319000000,0,32.9098666667,13.2178194444,的黎波里,利比亚
512273920867491840,2020/11/14 14:33:40.324000000,2020/11/14 14:33:40.324000000,0,43.3205333333,5.3496944444,马赛,法国
512273920888463360,2020/11/14 14:33:40.329000000,2020/11/14 14:33:40.329000000,0,41.1666666667,16.75,巴里港,意大利
512273920905240576,2020/11/14 14:33:40.333000000,2020/11/14 14:33:40.333000000,0,39.5512222222,2.635875,帕尔马,西班牙
512273920926212096,2020/11/14 14:33:40.337000000,2020/11/14 14:33:40.337000000,0,35.9465888889,5.5706638889,直布罗陀海峡,海峡海湾
512273920942989312,2020/11/14 14:33:40.342000000,2020/11/14 14:33:40.342000000,0,37.3392583333,11.6981333333,西西里海峡,海峡海湾
512273920963960832,2020/11/14 14:33:40.347000000,2020/11/14 14:33:40.347000000,0,35.7803944444,16.2708083333,地中海,海峡海湾
512273920980738048,2020/11/14 14:33:40.351000000,2020/11/14 14:33:40.351000000,0,30.0654555556,32.571825,苏伊士运河,海峡海湾
512273921001709568,2020/11/14 14:33:40.355000000,2020/11/14 14:33:40.355000000,0,26.6558083333,56.6067638889,霍尔木兹海峡,海峡海湾
512273921018486784,2020/11/14 14:33:40.360000000,2020/11/14 14:33:40.360000000,0,27.7472388889,50.5923333333,阿拉伯湾/波斯湾,海峡海湾
512273921035264000,2020/11/14 14:33:40.364000000,2020/11/14 14:33:40.364000000,0,26.8749194444,156.7915944444,考艾岛东北,海峡海湾
512273921056235520,2020/11/14 14:33:40.369000000,2020/11/14 14:33:40.369000000,0,25.5351,129.1892777778,冲绳东南,海峡海湾
512273921073012736,2020/11/14 14:33:40.373000000,2020/11/14 14:33:40.373000000,0,19.9514555556,121.9680083333,吕宋海峡,海峡海湾
512273921093984256,2020/11/14 14:33:40.378000000,2020/11/14 14:33:40.378000000,0,24.695725,58.4671111111,阿曼湾,海峡海湾
512273921114955776,2020/11/14 14:33:40.383000000,2020/11/14 14:33:40.383000000,0,10.3791222222,124.9908638889,苏里高海峡,海峡海湾
512273921131732992,2020/11/14 14:33:40.387000000,2020/11/14 14:33:40.387000000,0,11.3704388889,128.5555472222,帝汶海,海峡海湾
512273921152704512,2020/11/14 14:33:40.391000000,2020/11/14 14:33:40.391000000,0,33.03145,71.621525,瓦尔帕莱索,海峡海湾
512273921169481728,2020/11/14 14:33:40.396000000,2020/11/14 14:33:40.396000000,0,55.2732777778,64.9340583333,麦哲伦海峡,海峡海湾
512273921190453248,2020/11/14 14:33:40.400000000,2020/11/14 14:33:40.400000000,0,34.9438166667,56.1306722222,乌拉圭海岸,海峡海湾
512273921203036160,2020/11/14 14:33:40.404000000,2020/11/14 14:33:40.404000000,0,22.8813888889,43.1963638889,瓜纳巴拉湾,海峡海湾
512273921219813376,2020/11/14 14:33:40.408000000,2020/11/14 14:33:40.408000000,0,7.9534277778,58.9579361111,瓜亚纳东北,海峡海湾
512273921236590592,2020/11/14 14:33:40.412000000,2020/11/14 14:33:40.412000000,0,19.6745027778,38.9777527778,红海,海峡海湾
512273921253367808,2020/11/14 14:33:40.416000000,2020/11/14 14:33:40.416000000,0,12.1175583333,47.8681194444,亚丁湾,海峡海湾
512273921270145024,2020/11/14 14:33:40.420000000,2020/11/14 14:33:40.420000000,0,51.7136583333,130.1968222222,加南大西海岸,海峡海湾
512273921291116544,2020/11/14 14:33:40.424000000,2020/11/14 14:33:40.424000000,0,45.1796638889,45.1796638889,比斯开湾,海峡海湾
